epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13433.9,0.98633,0.44958,1.405,0.98114,0.95179,0.98165,0.70069,1.11397,0.38315,1.57137,0.002377,0.002377,0.002377
79,13607.2,0.98848,0.44751,1.40647,0.9821,0.95199,0.98176,0.70158,1.11346,0.38279,1.57072,0.002278,0.002278,0.002278
80,13779.9,0.98441,0.4452,1.40196,0.98257,0.95209,0.98163,0.70189,1.11287,0.38243,1.57028,0.002179,0.002179,0.002179
81,13953.5,0.98163,0.44243,1.40499,0.98257,0.95195,0.98145,0.70244,1.11238,0.38213,1.57021,0.00208,0.00208,0.00208
82,14126,0.97784,0.44013,1.40348,0.98258,0.95216,0.9814,0.70214,1.11185,0.38193,1.56986,0.001981,0.001981,0.001981
83,14299.4,0.97506,0.43625,1.39366,0.98257,0.95178,0.98149,0.70204,1.11187,0.38165,1.56994,0.001882,0.001882,0.001882
84,14472.7,0.97602,0.43283,1.39929,0.97806,0.95732,0.98153,0.70307,1.1117,0.38136,1.56994,0.001783,0.001783,0.001783
85,14646.4,0.97216,0.43183,1.39554,0.97867,0.95732,0.98156,0.7027,1.11123,0.38105,1.56944,0.001684,0.001684,0.001684
86,14818.9,0.96713,0.43098,1.39215,0.97853,0.95685,0.98166,0.70268,1.11083,0.38073,1.56905,0.001585,0.001585,0.001585
87,14993.1,0.97035,0.43056,1.39221,0.97889,0.95701,0.98227,0.70293,1.11026,0.38022,1.56882,0.001486,0.001486,0.001486
88,15166.2,0.962,0.42454,1.38989,0.97936,0.95724,0.98263,0.70357,1.10937,0.37993,1.56829,0.001387,0.001387,0.001387
89,15340.7,0.96049,0.42501,1.38731,0.98428,0.95169,0.9819,0.70347,1.10913,0.37969,1.56836,0.001288,0.001288,0.001288
90,15513.8,0.95585,0.42017,1.38154,0.98448,0.9522,0.98268,0.70328,1.10843,0.37929,1.56791,0.001189,0.001189,0.001189
91,15710.1,0.93105,0.35366,1.42702,0.98465,0.95216,0.98221,0.70397,1.10758,0.37908,1.56732,0.00109,0.00109,0.00109
92,15882.3,0.91877,0.35129,1.40759,0.98066,0.95638,0.98227,0.70399,1.10694,0.37852,1.56675,0.000991,0.000991,0.000991
93,16055.9,0.91241,0.34809,1.40268,0.98192,0.95638,0.98237,0.70546,1.1062,0.3782,1.56621,0.000892,0.000892,0.000892
94,16228.5,0.90581,0.34457,1.39951,0.98094,0.95638,0.98273,0.70621,1.10572,0.3776,1.56566,0.000793,0.000793,0.000793
95,16401.7,0.90248,0.34352,1.40086,0.98185,0.95638,0.98285,0.70654,1.10502,0.37787,1.56543,0.000694,0.000694,0.000694
96,16574.3,0.89889,0.3415,1.4021,0.98066,0.95638,0.98281,0.70695,1.10483,0.37723,1.56538,0.000595,0.000595,0.000595
97,16747.8,0.89185,0.33839,1.39246,0.98108,0.95638,0.98279,0.70709,1.10416,0.37726,1.56497,0.000496,0.000496,0.000496
98,16920.9,0.88696,0.33492,1.38652,0.98071,0.95638,0.98282,0.7068,1.10343,0.37726,1.56466,0.000397,0.000397,0.000397
99,17094.2,0.88542,0.33277,1.38584,0.9771,0.96201,0.98293,0.70748,1.10309,0.37697,1.56444,0.000298,0.000298,0.000298
100,17267.1,0.879,0.33099,1.37519,0.9774,0.96201,0.98289,0.70695,1.10205,0.3764,1.56386,0.000199,0.000199,0.000199
